性別,時間軸（年度次）,身長（90～200cm）,高等学校（17歳）
女,2017年度,179（cm）,0.0
女,2017年度,180（cm）,－
女,2017年度,181（cm）,－
女,2017年度,182（cm）,－
女,2017年度,183（cm）,－
女,2017年度,184（cm）,－
女,2017年度,185（cm）,－
女,2017年度,186（cm）,－
女,2017年度,187（cm）,－
女,2017年度,188（cm）,－
女,2017年度,189（cm）,－
女,2017年度,190（cm）,－
女,2017年度,191（cm）,－
女,2017年度,192（cm）,－
女,2017年度,193（cm）,－
女,2017年度,194（cm）,－
女,2017年度,195（cm）,－
女,2017年度,196（cm）,－
女,2017年度,197（cm）,－
女,2017年度,198（cm）,－
女,2017年度,199（cm）,－
女,2017年度,200（cm）～,－
女,2016年度,計,1000.0
女,2016年度,～90（cm）,－
女,2016年度,91（cm）,－
女,2016年度,92（cm）,－
女,2016年度,93（cm）,－
女,2016年度,94（cm）,－
女,2016年度,95（cm）,－
女,2016年度,96（cm）,－
女,2016年度,97（cm）,－
女,2016年度,98（cm）,－
女,2016年度,99（cm）,－
女,2016年度,100（cm）,－
女,2016年度,101（cm）,－
女,2016年度,102（cm）,－
女,2016年度,103（cm）,－
女,2016年度,104（cm）,－
女,2016年度,105（cm）,－
女,2016年度,106（cm）,－
女,2016年度,107（cm）,－
女,2016年度,108（cm）,－
女,2016年度,109（cm）,－
女,2016年度,110（cm）,－
女,2016年度,111（cm）,－
女,2016年度,112（cm）,－
女,2016年度,113（cm）,－
女,2016年度,114（cm）,－
女,2016年度,115（cm）,－
女,2016年度,116（cm）,－
女,2016年度,117（cm）,－
女,2016年度,118（cm）,－
女,2016年度,119（cm）,－
女,2016年度,120（cm）,－
女,2016年度,121（cm）,－
女,2016年度,122（cm）,－
女,2016年度,123（cm）,－
女,2016年度,124（cm）,－
女,2016年度,125（cm）,－
女,2016年度,126（cm）,－
女,2016年度,127（cm）,－
女,2016年度,128（cm）,－
女,2016年度,129（cm）,－
女,2016年度,130（cm）,－
女,2016年度,131（cm）,－
女,2016年度,132（cm）,－
女,2016年度,133（cm）,－
女,2016年度,134（cm）,－
女,2016年度,135（cm）,0.1
女,2016年度,136（cm）,－
女,2016年度,137（cm）,0.1
女,2016年度,138（cm）,0.2
女,2016年度,139（cm）,0.0
女,2016年度,140（cm）,0.3
女,2016年度,141（cm）,0.4
女,2016年度,142（cm）,0.7
女,2016年度,143（cm）,1.2
女,2016年度,144（cm）,3.3
女,2016年度,145（cm）,4.3
女,2016年度,146（cm）,6.6
女,2016年度,147（cm）,9.9
女,2016年度,148（cm）,12.9
女,2016年度,149（cm）,18.5
女,2016年度,150（cm）,29.8
女,2016年度,151（cm）,32.0
女,2016年度,152（cm）,39.8
女,2016年度,153（cm）,51.7
女,2016年度,154（cm）,57.9
女,2016年度,155（cm）,68.0
女,2016年度,156（cm）,73.7
女,2016年度,157（cm）,75.1
女,2016年度,158（cm）,76.0
女,2016年度,159（cm）,63.4
女,2016年度,160（cm）,68.8
女,2016年度,161（cm）,64.3
女,2016年度,162（cm）,53.0
女,2016年度,163（cm）,44.7
女,2016年度,164（cm）,36.6
女,2016年度,165（cm）,29.9
女,2016年度,166（cm）,22.8
女,2016年度,167（cm）,18.0
女,2016年度,168（cm）,11.1
女,2016年度,169（cm）,8.8
女,2016年度,170（cm）,5.9
女,2016年度,171（cm）,3.7
女,2016年度,172（cm）,2.9
女,2016年度,173（cm）,1.2
女,2016年度,174（cm）,0.8
女,2016年度,175（cm）,0.8
女,2016年度,176（cm）,0.2
女,2016年度,177（cm）,0.5
女,2016年度,178（cm）,0.2
女,2016年度,179（cm）,0.1
女,2016年度,180（cm）,0.0
女,2016年度,181（cm）,0.0
女,2016年度,182（cm）,－
女,2016年度,183（cm）,0.0
女,2016年度,184（cm）,－
女,2016年度,185（cm）,－
女,2016年度,186（cm）,－
女,2016年度,187（cm）,－
女,2016年度,188（cm）,－
女,2016年度,189（cm）,－
女,2016年度,190（cm）,－
女,2016年度,191（cm）,－
女,2016年度,192（cm）,－
女,2016年度,193（cm）,－
女,2016年度,194（cm）,－
女,2016年度,195（cm）,－
女,2016年度,196（cm）,0.0
女,2016年度,197（cm）,－
女,2016年度,198（cm）,－
女,2016年度,199（cm）,－
女,2016年度,200（cm）～,－
女,2015年度,計,1000.0
女,2015年度,～90（cm）,－
女,2015年度,91（cm）,－
女,2015年度,92（cm）,－
女,2015年度,93（cm）,－
女,2015年度,94（cm）,－
女,2015年度,95（cm）,－
女,2015年度,96（cm）,－
女,2015年度,97（cm）,－
女,2015年度,98（cm）,－
女,2015年度,99（cm）,－
女,2015年度,100（cm）,－
女,2015年度,101（cm）,－
女,2015年度,102（cm）,－
女,2015年度,103（cm）,－
女,2015年度,104（cm）,－
女,2015年度,105（cm）,－
女,2015年度,106（cm）,－
女,2015年度,107（cm）,－
女,2015年度,108（cm）,－
女,2015年度,109（cm）,－
女,2015年度,110（cm）,－
女,2015年度,111（cm）,－
女,2015年度,112（cm）,－
女,2015年度,113（cm）,－
女,2015年度,114（cm）,－
女,2015年度,115（cm）,－
女,2015年度,116（cm）,－
女,2015年度,117（cm）,－
女,2015年度,118（cm）,－
女,2015年度,119（cm）,－
女,2015年度,120（cm）,－
女,2015年度,121（cm）,－
女,2015年度,122（cm）,－
女,2015年度,123（cm）,－
女,2015年度,124（cm）,－
女,2015年度,125（cm）,－
女,2015年度,126（cm）,－
女,2015年度,127（cm）,－
女,2015年度,128（cm）,－
女,2015年度,129（cm）,－
女,2015年度,130（cm）,0.0
女,2015年度,131（cm）,0.0
女,2015年度,132（cm）,－
女,2015年度,133（cm）,－
女,2015年度,134（cm）,－
女,2015年度,135（cm）,－
女,2015年度,136（cm）,－
女,2015年度,137（cm）,0.0
女,2015年度,138（cm）,0.1
女,2015年度,139（cm）,0.2
女,2015年度,140（cm）,0.3
女,2015年度,141（cm）,0.4
女,2015年度,142（cm）,1.0
女,2015年度,143（cm）,1.2
女,2015年度,144（cm）,1.8
女,2015年度,145（cm）,3.7
女,2015年度,146（cm）,5.2
女,2015年度,147（cm）,8.8
女,2015年度,148（cm）,14.0
女,2015年度,149（cm）,18.9
女,2015年度,150（cm）,26.1
女,2015年度,151（cm）,32.4
女,2015年度,152（cm）,42.0
女,2015年度,153（cm）,50.0
女,2015年度,154（cm）,56.7
女,2015年度,155（cm）,65.4
女,2015年度,156（cm）,70.3
女,2015年度,157（cm）,75.9
女,2015年度,158（cm）,75.5
女,2015年度,159（cm）,68.1
女,2015年度,160（cm）,69.8
女,2015年度,161（cm）,65.6
女,2015年度,162（cm）,52.0
女,2015年度,163（cm）,47.6
女,2015年度,164（cm）,39.9
女,2015年度,165（cm）,29.9
女,2015年度,166（cm）,22.7
女,2015年度,167（cm）,15.6
女,2015年度,168（cm）,12.4
女,2015年度,169（cm）,8.0
女,2015年度,170（cm）,6.2
女,2015年度,171（cm）,4.1
女,2015年度,172（cm）,2.9
女,2015年度,173（cm）,1.9
女,2015年度,174（cm）,0.9
女,2015年度,175（cm）,0.9
女,2015年度,176（cm）,0.6
女,2015年度,177（cm）,0.4
女,2015年度,178（cm）,0.3
女,2015年度,179（cm）,0.1
女,2015年度,180（cm）,0.1
女,2015年度,181（cm）,－
女,2015年度,182（cm）,0.0
女,2015年度,183（cm）,－
女,2015年度,184（cm）,－
女,2015年度,185（cm）,－
女,2015年度,186（cm）,－
女,2015年度,187（cm）,－
女,2015年度,188（cm）,－
女,2015年度,189（cm）,－
女,2015年度,190（cm）,－
女,2015年度,191（cm）,－
女,2015年度,192（cm）,－
女,2015年度,193（cm）,－
女,2015年度,194（cm）,－
女,2015年度,195（cm）,－
女,2015年度,196（cm）,－
女,2015年度,197（cm）,－
女,2015年度,198（cm）,－
女,2015年度,199（cm）,－
女,2015年度,200（cm）～,－
