性別,時間軸（年度次）,身長（90～200cm）,高等学校（17歳）
男,2018年度,154（cm）,1.0
男,2018年度,155（cm）,1.5
男,2018年度,156（cm）,2.5
男,2018年度,157（cm）,4.1
男,2018年度,158（cm）,6.6
男,2018年度,159（cm）,9.9
男,2018年度,160（cm）,12.5
男,2018年度,161（cm）,15.5
男,2018年度,162（cm）,22.8
男,2018年度,163（cm）,30.4
男,2018年度,164（cm）,34.5
男,2018年度,165（cm）,43.1
男,2018年度,166（cm）,48.4
男,2018年度,167（cm）,55.4
男,2018年度,168（cm）,63.5
男,2018年度,169（cm）,67.9
男,2018年度,170（cm）,74.6
男,2018年度,171（cm）,75.8
男,2018年度,172（cm）,66.9
男,2018年度,173（cm）,60.0
男,2018年度,174（cm）,56.3
男,2018年度,175（cm）,52.6
男,2018年度,176（cm）,41.7
男,2018年度,177（cm）,36.0
男,2018年度,178（cm）,28.0
男,2018年度,179（cm）,22.8
男,2018年度,180（cm）,17.9
男,2018年度,181（cm）,13.0
男,2018年度,182（cm）,10.9
男,2018年度,183（cm）,7.3
男,2018年度,184（cm）,5.0
男,2018年度,185（cm）,3.5
男,2018年度,186（cm）,2.5
男,2018年度,187（cm）,1.8
男,2018年度,188（cm）,1.2
男,2018年度,189（cm）,0.6
男,2018年度,190（cm）,0.2
男,2018年度,191（cm）,0.1
男,2018年度,192（cm）,0.2
男,2018年度,193（cm）,0.1
男,2018年度,194（cm）,－
男,2018年度,195（cm）,0.1
男,2018年度,196（cm）,－
男,2018年度,197（cm）,－
男,2018年度,198（cm）,－
男,2018年度,199（cm）,－
男,2018年度,200（cm）～,－
男,2017年度,計,1000.0
男,2017年度,～90（cm）,－
男,2017年度,91（cm）,－
男,2017年度,92（cm）,－
男,2017年度,93（cm）,－
男,2017年度,94（cm）,－
男,2017年度,95（cm）,－
男,2017年度,96（cm）,－
男,2017年度,97（cm）,－
男,2017年度,98（cm）,－
男,2017年度,99（cm）,－
男,2017年度,100（cm）,－
男,2017年度,101（cm）,－
男,2017年度,102（cm）,－
男,2017年度,103（cm）,－
男,2017年度,104（cm）,－
